electr_supervise_no,id,province,city,district,location,bd_lat,bd_lon,tdt_lat,tdt_lon,status
1101002013B00154,b4dc209f-ea34-4781-bbca-9387f190720f,北京市,北京市,朝阳区,朝阳区英家坟1号,39.916665,116.493345,39.86036,116.468096,1
1101112013B00166,8d02dde7-693b-4bd3-93ae-18fc3efc9a06,北京市,北京市,房山区,北京市房山区窦店产业用地03街区D区,39.66241,116.07711,39.6503,116.06176,1
1101112008B00029,473b31c8-87cc-4890-9923-a4133868095bCCC,北京市,北京市,房山区,房山区窦店镇下坡店村南于庄村北,39.693875,116.072571,39.681532,116.0654,1
1101002009B00900,2055b149-556c-4502-85a4-ae5bcb849802,北京市,北京市,密云县,密云县云西地区,40.532843,117.001201,40.39946,116.8474,1
1102282010B00047,e8dc7286-3ec8-4406-bd3d-7e33d123d1c2,北京市,北京市,密云县,密云县西大桥村宝桥南巷99号,40.369472,116.830111,40.363892,116.817456,1
1101002008B02042,6c265c5b-a813-426a-9bb0-21e24553406a,北京市,北京市,朝阳区,朝阳区农展馆北路西口北侧,39.949547,116.468618,39.97184,116.483096,1
1101002008B00590,c8c0f079-0468-469f-b7c2-6d474ce9ba56,北京市,北京市,大兴区,大兴区黄村镇大庄村东,39.69956,116.336785,39.695768,116.326984,1
1101002008B00536,89a640ed-eb83-4a36-9cb3-eb06be2399be,北京市,北京市,密云县,密云县京承路北侧，气象局东侧,40.366304,116.865236,40.39946,116.8474,1
1101152010B00015,b98a5973-decc-460f-9279-65b5ebb698b7,北京市,北京市,大兴区,中关村科技园区大兴生物医药产业基地,39.697969,116.325793,39.69086,116.31296,1
1101152010B00034,81c63955-bb6d-45b8-8391-aa3fdea55791,北京市,北京市,大兴区,大兴区黄村镇,39.706174,116.389949,39.7527,116.320568,1
1101002008B00806,be8ee7ad-7101-4779-a382-c5ea1de75393,北京市,北京市,丰台区,丰台区永外宋家庄苇子坑2号,39.85773,116.406007,39.84394,116.436704,1
1101002010B08978,d3241373-e122-42a6-b4ab-485d6352180a,北京市,北京市,丰台区,丰台区科技园区产业基地二期B地块,39.864937,116.292402,39.8294,116.273488,1
1101002010B10829,18ab916d-da43-43ae-aa4b-c63be6cb2a4c,北京市,北京市,海淀区,海淀区大钟寺太阳园,39.976646,116.349454,39.910756,116.298648,1
1101002009B00315,e30c4488-febf-421c-9fe2-38738ef5b893,北京市,北京市,丰台区,丰台区丰管路甲3号,39.864381,116.308635,39.857008,116.296208,1
1101002008B00458,40653a0b-7b54-435d-b5c5-3b12fd944fce,北京市,北京市,朝阳区,朝阳区水碓子东路19号楼北侧（城建粮店）,39.932718,116.479489,39.894168,116.487296,1
1101002008B00217,e87a27d9-54cf-4fdb-95cf-ebcfe4054ddc,北京市,北京市,丰台区,丰台区杨公庄53号,39.835338,116.206086,39.827068,116.1914,1
1101122010B00024,e8e31008-4fb1-41e9-9689-6a5119bd8d52,北京市,北京市,通州区,北京市光机电一体化产业基地,39.809385,116.584017,39.801832,116.544376,1
1101002008B03728,4a3a483c-4f29-4497-bf49-a603abe93a67,北京市,北京市,顺义区,顺义区后沙峪镇吉祥庄,40.095926,116.564277,40.095924,116.552816,1
1101002011B13166,aadce83b-dae9-4749-a63f-7557d8992f4f,北京市,北京市,昌平区,昌平区马池口镇北小营村,40.148732,116.242444,40.18012,116.159112,1
1101002008B02258,4650cdf2-8083-450b-ba90-89db3b10bc09,北京市,北京市,东城区,东城区安定门内大街24号 26号,39.954521,116.4149,39.886924,116.425136,1
1101002008B02073,fe37abbc-e3f9-46fd-ab36-4c59ab7a632b,北京市,北京市,朝阳区,朝阳区建东苑18号楼,39.92111,116.589615,39.949008,116.444016,1
1101132010B00346,d6809731-34c2-4b9c-92c3-949eb4e4f503,北京市,北京市,顺义区,顺义区赵全营镇兆丰产业基地,40.221845,116.547399,40.214532,116.535008,1
1101002008B06048,3157354d-330d-4f07-bb2b-84877a581fd3,北京市,北京市,房山区,房山区农林路东侧（原房山服装厂）,39.698173,115.991212,39.746604,116.136968,1
1101002008B05429,e6fe75c3-9a17-4f20-8a40-e6b7c628ed0a,北京市,北京市,门头沟区,门头沟区城子大街154号,39.950755,116.107357,39.939148,116.09572,1
1101002008B05513,3dd7c7fd-7ea0-4bbb-b562-a30b140fe7e1,北京市,北京市,密云县,密云县溪翁庄镇东智北村南,40.440239,116.841601,40.431708,116.828976,1
1101002013B01280,11357cfb-3b9f-4b03-90ad-f5542bd8ce07,北京市,北京市,海淀区,北京市海淀区西北旺镇唐家岭村西北侧,40.071045,116.29555,40.064728,116.289192,1
1101132010B00444,e331b302-1bfd-40b0-bb05-6e12b79403a2,北京市,北京市,顺义区,顺义区汽车生产基地,40.136351,116.661424,40.099348,116.655112,1
1101002009B01524,b553332e-32ea-4e4c-bbf6-ffd178f94ed2,北京市,北京市,海淀区,五棵松路32号,39.937683,116.282675,39.90312,116.401,1
1101002015B02276,c9b8e70c-e8f7-42ac-b408-c28a027a20b4,北京市,北京市,昌平区,北京市昌平区,40.226413,116.237618,40.219406,116.225187,1
1101002014B00446,19a45392-fc64-43fc-9323-bf0c264cc7b0,北京市,北京市,房山区,房山区拱辰街道及长阳镇（良乡高教园区4号地）09-05-10地块,39.757531,116.183806,39.75,116.171192,1
1101162009B00047,12835b70-160c-4736-bcc7-d2a70a3b477c,北京市,北京市,怀柔区,京承高速路南（庙城）,40.277015,116.673502,40.670708,117.249624,1
1101132009B00449,67ac2f5f-f6d0-4deb-b0aa-255ee0b03bbb,北京市,北京市,顺义区,顺义区天竺出口加工区,40.092303,116.574252,40.094528,116.557944,1
1101002017B01913,fa22ca65-553b-460b-bea0-95066cdd2923,北京市,北京市,通州区,通州区台湖镇轻轨L2线通州段两站一街,39.819546,116.611479,39.919324,116.633888,1
1101002009B06848,0ac5a22a-b046-4ca0-9f62-ab4c3f23f123,北京市,北京市,海淀区,海淀区温泉镇中关村环保科技示范园,40.066866,116.181394,40.05564,116.180128,1
1101002008B03897,d8a64798-0be5-4801-99ab-0ee2676759be,北京市,北京市,东城区,东城区朝阳门南小街12号 大方家胡同40号,39.924885,116.434012,39.917648,116.421752,1
1101002008B03987,161dabdd-c70f-4449-8c65-d2ebaa98371d,北京市,北京市,东城区,东城区朝阳门内南小街18号,39.941852,116.432731,39.891492,116.435808,1
1101152010B00204,82411878-ca06-4df2-8d77-6f6d2c57fb42,北京市,北京市,大兴区,大兴区青云店镇,39.702569,116.50944,39.68426,116.495232,1
1101002008B03192,267bca51-ebdc-4373-bd08-f61c71bbda2c,北京市,北京市,丰台区,丰台区石榴庄,39.847381,116.433628,39.836216,116.414688,1
1101002012B20974,a3cb80ec-323e-45da-94e8-6ab761d96e22,北京市,北京市,石景山区,石景山区苹果园交通枢纽H地块,39.934641,116.189634,39.928952,116.189016,1
1101172010B00056,9514a719-e6f3-4d2a-abe7-c58f37044b93,北京市,北京市,平谷区,平谷区兴谷街道办事处杜辛庄村,40.162384,117.125769,40.15454,117.112,1
1101172010B00067,dd8f4a57-c9fe-4c7b-b5ef-992068899541,北京市,北京市,平谷区,平谷区平瑞街5号,40.172715,117.146723,40.165152,117.133672,1
1101132009B00015,428fe71c-65f8-4851-8649-6e21be5e7224,北京市,北京市,顺义区,马坡镇,40.178628,116.61441,40.1696,116.59536,1
1101172010B00104,a0a08b2f-3f18-4c46-80a0-37e9c15bb95a,北京市,北京市,平谷区,兴谷开发区M2-1区,40.166418,117.133521,39.90312,116.401,1
1101002014B01879,b79c2754-a57e-41ad-9aa4-d0045e7b9fe0,北京市,北京市,东城区,北京经济技术开发区路南区N90街区N90M1地块,39.910925,116.413384,39.78916,116.491544,1
1101002013B02376,331a91f1-6c7b-4a9c-8847-ebf955887843,北京市,北京市,西城区,西城区油漆作胡同37号,39.938724,116.401124,39.931004,116.388592,1
1101002013B00496,bc828cb8-204a-4df3-a5af-a0fda7b65905,北京市,北京市,西城区,西城区后铁匠胡同1号,39.941257,116.384651,39.944588,116.36088,1
1101002013B00736-1,95fe3599-50a5-4503-8911-4eb0e5185704,北京市,北京市,房山区,北京市房山区窦店镇01-0050 01-0055地块居住用地项目,39.65876,116.104146,39.6503,116.06176,1
1101142010B00021,47b3b727-5cc9-40ca-ace6-2b8063f5dbfe,北京市,北京市,昌平区,北京市昌平新城沙河组团A-33地块,40.226413,116.237618,40.130844,116.294368,1
1101132010B00453,cf80d714-2efa-4cd8-9e49-a3123bfe45d7,北京市,北京市,顺义区,顺义区汽车生产基地,40.136351,116.661424,40.099348,116.655112,1
1101002009B00923,d3687c12-962d-4e3d-90f5-3834147d3de9,北京市,北京市,朝阳区,北京市朝阳区北三环东路2号,39.964378,116.457984,39.956892,116.445056,1
1101002010B11327,47492832-f2db-48f4-9f17-2da558ea6af6,北京市,北京市,海淀区,海淀区中关村创新园C6-06,40.077878,116.197052,39.978588,116.250264,1
1101132013B00050,9665ba29-8f6b-4485-b81c-0371182a2dda,北京市,北京市,顺义区,顺义天竺综合保税区内,40.121192,116.588116,40.093492,116.557768,1
1101172013B00154-1,bc885c93-946f-44ab-9cf7-83de21744f94,北京市,北京市,平谷区,北京市平谷区马坊工业园区E19-04B号内地块,40.051923,117.015662,40.042096,116.997024,1
1101172013B00146-2,bb241f44-299f-4d0b-bb0f-004917168375,北京市,北京市,平谷区,北京市平谷区马坊工业园区E19-04A地块,40.051923,117.015662,40.042096,116.997024,1
1101132011B00196,2d6701d1-eb82-4508-bdf8-97db9a56d49f,北京市,北京市,顺义区,杨镇一街,40.160388,116.842378,40.15352,116.83,1
1101002008B05787,061222d5-490e-41ed-a681-f1414f9f7aea,北京市,北京市,石景山区,石景山区石景山路33号,39.911354,116.229613,39.906608,116.193544,1
1101132011B00455,1a1361a1-f157-47eb-aede-3cdaa1b6a7e9,北京市,北京市,顺义区,马坡,40.175911,116.654968,40.176028,116.651744,1
1101002009B00018,70f42a9f-8520-46b6-93a2-533730ba0826,北京市,北京市,通州区,北京经济技术开发区西环南路南侧 凉水河北岸 再生水厂一期用地东侧地块,39.776193,116.566297,39.839772,116.711552,1
1101002018B00019,7fbe81e1-1f5a-4aed-8f6f-853f3596e1e3,北京市,北京市,昌平区,北京市昌平区北七家镇（未来科技城南区）C-52地块R2二类居住用地,40.139644,116.474486,40.11682,116.417264,1
1101002012B17920,b9870cda-3661-4895-8a35-5c55bac683c1,北京市,北京市,东城区,东城区西扬威胡同10号,39.937339,116.41712,39.92984,116.405288,1
1101122012B00030,0e5252ad-45ed-415c-85e2-55801aaed671,北京市,北京市,通州区,通州区马驹桥镇金桥科技产业基地,39.741869,116.563226,39.7284,116.55828,1
1101002009B05321,1fd5c376-03ea-4d7d-97eb-4389d6a4d7f6,北京市,北京市,西城区,西城区三座桥胡同13号,39.940957,116.394461,39.933148,116.382112,1
1101002008B01817,8d53454b-cc0d-48a5-b10f-a79e4a4c84e8,北京市,北京市,丰台区,丰台区西三环南路23号,39.879679,116.317451,39.872236,116.304504,1
1101002009B04540,b3e07dbf-b553-4d83-8030-5465f9cca3ff,北京市,北京市,东城区,前门大街东侧路西片B4 C2 C4组团地块商业 商居混合项目,39.905108,116.404243,39.786152,116.55736,1
1101002009B01214,9dc4c645-a9ff-4de2-b3e9-20ee7f65a15a,北京市,北京市,大兴区,北京经济技术开发区路东区E17号街区E17F1地块,39.801131,116.513005,39.78916,116.491544,1
1101002013B03471,b0dcc7d4-eb7c-42e9-8ba1-a562b9218b2e,北京市,北京市,西城区,西城区新街口南大街145号,39.941145,116.379151,39.940388,116.365776,1
1101002013B03489,e0a39121-6565-4a6d-a179-520651cb7543,北京市,北京市,东城区,东城区东四五条129号,39.934936,116.425929,39.933056,116.413952,1
1101002015B01469,a556ed4d-ab86-4768-9ad5-5ebe605b0ee9,北京市,北京市,丰台区,丰台区花乡羊坊村,39.797708,116.311097,39.7902,116.298448,1
1101002015B01555,21a106df-7d15-46a3-a52f-975a31cf4a21,北京市,北京市,东城区,东城区东总布胡同36号,39.918044,116.436036,39.920648,116.41504,1
1101002010B10377,5fbf7823-5f0b-4212-ae1c-1608d2cafd17,北京市,北京市,东城区,崇文区新景商务楼北侧遗留地块,39.889292,116.424636,39.968528,116.359392,1
1101002013B00324,2921170d-6cf7-42ee-a764-fe9a5b51aebf,北京市,北京市,丰台区,丰台区方庄芳城园二区15号楼,39.873814,116.437762,39.861484,116.4338,1
1101002013B04627,5be221c6-2d60-4d62-851a-8b76b14e6047,北京市,北京市,西城区,西城区双旗杆西路1号,39.973132,116.391591,39.964712,116.378984,1
1101002008B04129,e3bc2db0-5a8b-42f4-8a7a-a91bdd27e1f3,北京市,北京市,海淀区,海淀区文慧园北路,39.959999,116.368136,39.95216,116.355568,1
1101002012B00020,a0b7490b-a5b8-4b3a-bd27-74ced98614c0,北京市,北京市,平谷区,平谷区平谷大街南侧,40.164706,117.125904,40.138952,117.092576,1
1101152013B00265,90cd85c8-67d7-4a19-8176-dea98000d2ef,北京市,北京市,大兴区,中关村科技园区大兴生物医药产业基地,39.697969,116.325793,39.69086,116.31296,1
1101152011B00318,0b470f59-de25-4715-9cd2-d74e8a93307c,北京市,北京市,东城区,北京生物工程与医药产业基地,39.910925,116.413384,39.688208,116.297328,1
1101002009B07347,37adb60e-5b7c-4e59-a8c3-c55bb5908228,北京市,北京市,通州区,通州区台湖镇光机电一体化产业基地二期E地块,39.809385,116.584017,39.801832,116.544376,1
1101002009B04557,73d9c180-d62c-42e4-9ff0-364974b824b7,北京市,北京市,东城区,前门大街东侧路西片B11 C6组团地块商业 商居混合项目,39.905108,116.404243,39.89596,116.409784,1
1101002018B00437,b8eab23c-b51d-45ba-83b1-c5391fbb19e5,北京市,北京市,大兴区,北京市大兴区黄村镇DX00-0103-1304地块R2二类居住用地,39.706174,116.389949,39.7728,116.329104,1
1101002010B08028,980fc4a5-a9fe-4251-aaab-a4f913cde010,北京市,北京市,丰台区,丰台区黄土岗,39.838006,116.337468,39.823896,116.334896,1
1101002014B00873,017718a6-7962-4ec4-a2eb-f9ad3391e82c,北京市,北京市,西城区,西城区金融街G区2号地6号楼,39.92934,116.368437,39.91286,116.34708,1
